COUNT,RAW,SKF,TIMETAKEN
821,615.77,610.05,1
822,609.01,610.03,1
823,609.01,610.01,1
824,609.06,609.99,1
825,609.06,609.97,1
826,608.94,609.95,1
827,609.01,609.93,1
828,609.01,609.91,1
829,608.8,609.89,1
830,608.8,609.87,1
831,608.86,609.85,1
832,608.86,609.83,1
833,608.86,609.82,1
834,608.47,609.79,1
835,608.47,609.77,1
836,608.51,609.74,1
837,608.51,609.72,1
838,608.51,609.7,1
839,608.66,609.68,1
840,608.66,609.66,1
841,608.67,609.65,1
842,608.67,609.63,1
843,608.67,609.61,1
844,618.77,609.77,1
845,618.77,609.93,1
846,608.52,609.91,1
847,608.52,609.88,1
848,608.76,609.86,1
849,608.76,609.84,1
850,608.76,609.82,1
851,608.58,609.79,1
852,608.58,609.77,1
853,608.91,609.75,1
854,608.91,609.74,1
855,608.91,609.72,1
856,608.63,609.7,1
857,608.63,609.68,1
858,608.65,609.67,1
859,608.65,609.65,1
860,608.65,609.63,1
861,608.84,609.62,1
862,608.84,609.6,1
863,608.82,609.59,1
864,608.82,609.58,1
865,608.82,609.56,1
866,608.8,609.55,1
867,608.8,609.54,1
868,628.18,609.84,1
869,628.18,610.19,1
870,608.9,610.16,1
871,608.9,610.14,1
872,608.9,610.11,1
873,608.67,610.08,1
874,608.67,610.05,1
875,608.77,610.02,1
876,608.77,610,1
877,608.77,609.97,1
878,608.8,609.95,1
879,608.8,609.92,1
880,608.85,609.9,1
881,608.85,609.88,1
882,608.85,609.86,1
883,609.06,609.84,1
884,609.06,609.83,1
885,608.94,609.81,1
886,608.94,609.8,1
887,608.94,609.78,1
888,608.84,609.76,1
889,608.84,609.75,1
890,608.65,609.73,1
891,608.65,609.71,1
892,618.78,609.87,1
893,618.78,610.04,2
894,618.78,610.22,1
895,609.07,610.19,1
896,609.07,610.17,1
897,608.72,610.14,1
898,608.72,610.11,1
899,608.72,610.08,1
900,608.94,610.06,1
901,608.94,610.03,1
902,608.82,610.01,1
903,608.82,609.98,1
904,608.82,609.96,1
905,608.77,609.94,1
906,608.77,609.91,1
907,609.06,609.9,1
908,609.06,609.88,1
909,608.83,609.86,1
910,608.83,609.84,1
911,608.83,609.82,1
912,609.02,609.81,1
913,609.02,609.79,1
914,608.92,609.78,1
915,608.92,609.76,1
916,608.92,609.75,1
917,608.63,609.73,1
918,608.63,609.71,1
919,608.71,609.69,1
920,608.71,609.67,1
921,608.71,609.65,1
922,608.98,609.64,1
923,608.98,609.63,1
924,608.57,609.61,1
925,608.57,609.6,1
926,608.57,609.58,1
927,608.75,609.57,1
928,608.75,609.55,1
929,608.87,609.54,1
930,608.87,609.53,1
931,608.67,609.52,1
932,608.67,609.5,1
933,608.67,609.49,1
934,608.81,609.48,1
935,608.81,609.47,1
936,608.82,609.46,1
937,608.82,609.45,1
938,608.82,609.44,1
939,608.55,609.43,1
940,608.55,609.41,1
941,608.53,609.4,1
